년도,지점명칭,목적,지목,지역,면적(제곱미터),시료깊이(m),카드뮴(mg_kg),구리(mg_kg),비소(mg_kg),수은(mg_kg),납(mg_kg),6가크롬(mg_kg),아연(mg_kg),니켈(mg_kg),불소(mg_kg),유기인(mg_kg),폴리클로리네이티드비페닐(PCBs)(mg_kg),시안(mg_kg),페놀류(mg_kg),벤젠(mg_kg),톨루엔(mg_kg),에틸벤젠(mg_kg),크실렌(mg_kg),석유계총탄화수소(TPH)(mg_kg),트리클로로에틸렌(TCE)(mg_kg),테트라클로로에틸렌(PCE)(mg_kg),벤조(a)피렌(mg_kg),12디클로로에탄(mg_kg),수소이온농도(pH)
2021,GS칼텍스(주)동해저유소,산업단지 및 공장지역,잡종지(3지역),3지역,22511,0.15,0.65,42.3,0,0.07,24.6,0,122.6,55.2,216,,,0,0,0,0,0,0,192,,,,,7.7
2021,동해바이오화력,산업단지 및 공장지역,공장용지,3지역,155527.4,0.15,0.2,9.1,0,0,17.5,0,89.4,12.1,196,,,0,0,0,0,0,0,91,0,0,,0,7.8
2021,동해시폐수종말처리장주변,산업단지 및 공장지역,잡종지(3지역),3지역,22222,0.15,0.4,20,0,0.07,23.8,0,128.5,22.1,473,,,0,0,0,0,0,0,77,,,,,8.5
2021,동해시종합버스터미널,교통관련시설지역,잡종지(2지역),2지역,9402,0.15,0.25,13.4,0,0,6.7,0,40.9,20.9,177,,,0,0,0,0,0,0,300,,,,,8
2021,북평동주민센터,산업단지 주변 등의 주거지역,대지(1지역),1지역,3086,0.15,2.82,13.3,3.04,0.02,60.7,0,170.1,17.1,365,,,0,,,,,,,,,,,8.4
2021,단봉1호공원,어린이 놀이시설지역,공원용지,1지역,970,0.15,0.2,9.7,0,0,9.7,0,81,7.3,,,,0,,,,,,,,,,,7.8
2021,효가어린이공원,어린이 놀이시설지역,공원용지,1지역,1549,0.15,0.2,9.3,0,0,20.8,0,41,11,,,,0,,,,,,,,,,,6.4
2021,북평초등학교,어린이 놀이시설지역,학교용지,1지역,10496,0.15,0.25,6.1,0,0,10.7,0,79.9,8.2,,,,0,,,,,,,,,,,9.2
2021,이로2호공원,어린이 놀이시설지역,임야,[어린이놀이시설(실외설치)] 1지역,880,0.15,0.3,6.9,0,0.02,16.5,0,108.2,9.6,,,,0,,,,,,,,,,,7.6
2021,북평제2일반산업단지,토지개발지역,임야,2지역,598964,0.15,0.1,28.5,0,0.02,14.4,0,49.5,17.4,,,,0,,,,,,,,,,,5.4
2021,에이맥,산업단지 및 공장지역,공장용지,3지역,1974,0.15m,0.1,14.9,0,0.06,17.6,0,51.4,13.2,520,,,0,0,0,0,0,0,122,0,0,,0,7.3
2021,케이티씨(주),산업단지 및 공장지역,공장용지,3지역,6283,0.15m,0.15,3.1,0,0.12,6,0,51.5,2.1,445,,,0,0,0,0,0,0,50,0,0,,0,7.3
